Key,Value
KUNPCKBW,"['__mmask16 _mm512_kunpackb(__mmask16 a, __mmask16 b);', '__mmask16 _mm512_kunpackb(__mmask16 a, __mmask16 b);', '__mmask16 _mm512_kunpackb(__mmask16 a, __mmask16 b);']"
KXNORW,"['__mmask16 _mm512_kxnor(__mmask16 a, __mmask16 b);', '__mmask16 _mm512_kxnor(__mmask16 a, __mmask16 b);', '__mmask16 _mm512_kxnor(__mmask16 a, __mmask16 b);', '__mmask16 _mm512_kxnor(__mmask16 a, __mmask16 b);']"
KXORW,"['__mmask16 _mm512_kxor(__mmask16 a, __mmask16 b);', '__mmask16 _mm512_kxor(__mmask16 a, __mmask16 b);', '__mmask16 _mm512_kxor(__mmask16 a, __mmask16 b);', '__mmask16 _mm512_kxor(__mmask16 a, __mmask16 b);']"
LDDQU,['__m128i _mm_lddqu_si128 (__m128i * p);']
_mm_setcsr(unsigned,['int i)']
LOADIWKEY,"['void _mm_loadiwkey(unsigned int ctl, __m128i intkey, __m128i enkey_lo, __m128i enkey_hi);']"
LZCNT,['unsigned __int32 _lzcnt_u32(unsigned __int32 src);']
VMAXPD,"['__m512d _mm512_max_pd( __m512d a, __m512d b);']"
VMAXPS,"['__m512 _mm512_max_ps( __m512 a, __m512 b);']"
VMAXSD,"['__m128d _mm_max_round_sd( __m128d a, __m128d b, int);']"
VMAXSS,"['__m128 _mm_max_round_ss( __m128 a, __m128 b, int);']"
VMINPD,"['__m512d _mm512_min_pd( __m512d a, __m512d b);']"
VMINPS,"['__m512 _mm512_min_ps( __m512 a, __m512 b);']"
VMINSD,"['__m128d _mm_min_round_sd(__m128d a, __m128d b, int);']"
VMINSS,"['__m128 _mm_min_round_ss( __m128 a, __m128 b, int);']"
MONITOR,"['void _mm_monitor(void const *p, unsigned extensions,unsigned hints)']"
VMOVAPD,['__m512d _mm512_load_pd( void * m);']
VMOVAPS,['__m512 _mm512_load_ps( void * m);']
MOVD,"['__m64 _mm_cvtsi32_si64 (int i )', '__m64 _mm_cvtsi32_si64 (int i )']"
VMOVDDUP,['__m512d _mm512_movedup_pd( __m512d a);']
MOVDIR64B,"['void _movdir64b(void *dst, const void* src)']"
MOVDIRI,"['void _directstoreu_u32(void *dst, uint32_t val)']"
MOVDQ2Q,['__m64 _mm_movepi64_pi64 ( __m128i a)']
VMOVDQA32,"['__m512i _mm512_load_epi32( void * sa);', '__m512i _mm512_load_epi32( void * sa);', '__m512i _mm512_load_epi32( void * sa);']"
VMOVDQU16,"['__m512i _mm512_mask_loadu_epi16(__m512i s, __mmask32 k, void * sa);', '__m512i _mm512_mask_loadu_epi16(__m512i s, __mmask32 k, void * sa);', '__m512i _mm512_mask_loadu_epi16(__m512i s, __mmask32 k, void * sa);', '__m512i _mm512_mask_loadu_epi16(__m512i s, __mmask32 k, void * sa);', '__m512i _mm512_mask_loadu_epi16(__m512i s, __mmask32 k, void * sa);']"
MOVHLPS,"['__m128 _mm_movehl_ps(__m128 a, __m128 b)']"
MOVHPD,"['__m128d _mm_loadh_pd ( __m128d a, double *p)']"
MOVHPS,"['__m128 _mm_loadh_pi ( __m128 a, __m64 *p)']"
MOVLHPS,"['__m128 _mm_movelh_ps(__m128 a, __m128 b)']"
MOVLPD,"['__m128d _mm_loadl_pd ( __m128d a, double *p)']"
MOVLPS,"['__m128 _mm_loadl_pi ( __m128 a, __m64 *p)']"
MOVMSKPD,['int _mm_movemask_pd ( __m128d a)']
int,['_mm_movemask_ps(__m128 a)']
VMOVNTDQ,"['void _mm512_stream_si512(void * p, __m512i a);']"
VMOVNTDQA,['__m512i _mm512_stream_load_si512(__m512i const* p);']
MOVNTI,"['void _mm_stream_si32 (int *p, int a)']"
VMOVNTPD,"['void _mm512_stream_pd(double * p, __m512d a);']"
VMOVNTPS,"['void _mm512_stream_ps(float * p, __m512d a);']"
MOVNTQ,"['void _mm_stream_pi(__m64 * p, __m64 a)']"
VMOVQ,['__m128i _mm_loadu_si64( void * s);']
MOVQ2DQ__128i,['_mm_movpi64_epi64 ( __m64 a)']
VMOVSD,"['__m128d _mm_mask_load_sd(__m128d s, __mmask8 k, double * p);']"
VMOVSHDUP,['__m512 _mm512_movehdup_ps( __m512 a);']
VMOVSLDUP,['__m512 _mm512_moveldup_ps( __m512 a);']
VMOVSS,"['__m128 _mm_mask_load_ss(__m128 s, __mmask8 k, float * p);']"
VMOVUPD,['__m512d _mm512_loadu_pd( void * s);']
VMOVUPS,['__m512 _mm512_loadu_ps( void * s);']
(V)MPSADBW,"['__m128i _mm_mpsadbw_epu8 (__m128i s1, __m128i s2, const int mask);']"
VMULPD,"['__m512d _mm512_mul_pd( __m512d a, __m512d b);']"
VMULPS,"['__m512 _mm512_mul_ps( __m512 a, __m512 b);']"
VMULSD,"['__m128d _mm_mask_mul_sd(__m128d s, __mmask8 k, __m128d a, __m128d b);']"
VMULSS,"['__m128 _mm_mask_mul_ss(__m128 s, __mmask8 k, __m128 a, __m128 b);']"
Auto-generated,"['from high-level language when possible. unsigned int mulx_u32(unsigned int a, unsigned int b, unsigned int * hi);']"
MWAIT,"['void _mm_mwait(unsigned extensions, unsigned hints)']"
VORPD,"['__m512d _mm512_or_pd ( __m512d a, __m512d b);']"
VORPS,"['__m512 _mm512_or_ps ( __m512 a, __m512 b);']"
VPABSB__m512i,"['_mm512_abs_epi8 ( __m512i a)', '_mm512_abs_epi8 ( __m512i a)', '_mm512_abs_epi8 ( __m512i a)', '_mm512_abs_epi8 ( __m512i a)']"
VPACKSSDW__m512i,"['_mm512_packs_epi32(__m512i m1, __m512i m2);', '_mm512_packs_epi32(__m512i m1, __m512i m2);']"
VPACKUSDW__m512i,"['_mm512_packus_epi32(__m512i m1, __m512i m2);']"
VPACKUSWB,"['__m512i _mm512_packus_epi16(__m512i m1, __m512i m2);']"
VPADDB__m512i,"['_mm512_add_epi8 ( __m512i a, __m512i b)', '_mm512_add_epi8 ( __m512i a, __m512i b)', '_mm512_add_epi8 ( __m512i a, __m512i b)', '_mm512_add_epi8 ( __m512i a, __m512i b)']"
PADDSB,"['__m64 _mm_adds_pi8(__m64 m1, __m64 m2)', '__m64 _mm_adds_pi8(__m64 m1, __m64 m2)']"
PADDUSB,"['__m64 _mm_adds_pu8(__m64 m1, __m64 m2)', '__m64 _mm_adds_pu8(__m64 m1, __m64 m2)']"
PALIGNR,"['__m64 _mm_alignr_pi8 (__m64 a, __m64 b, int n)']"
VPANDD,"['__m512i _mm512_and_epi32( __m512i a, __m512i b);']"
VPANDND,"['__m512i _mm512_andnot_epi32( __m512i a, __m512i b);']"
VPAVGB,"['__m512i _mm512_avg_epu8( __m512i a, __m512i b);', '__m512i _mm512_avg_epu8( __m512i a, __m512i b);']"
(V)PBLENDVB,"['__m128i _mm_blendv_epi8 (__m128i v1, __m128i v2, __m128i mask);']"
(V)PBLENDW,"['__m128i _mm_blend_epi16 (__m128i v1, __m128i v2, const int mask);']"
(V)PCLMULQDQ,"['__m128i _mm_clmulepi64_si128 (__m128i, __m128i, const int)']"
VPCMPEQB,"['__mmask64 _mm512_cmpeq_epi8_mask(__m512i a, __m512i b);', '__mmask64 _mm512_cmpeq_epi8_mask(__m512i a, __m512i b);', '__mmask64 _mm512_cmpeq_epi8_mask(__m512i a, __m512i b);']"
VPCMPEQQ,"['__mmask8 _mm512_cmpeq_epi64_mask( __m512i a, __m512i b);']"
VPCMPGTB,"['__mmask64 _mm512_cmpgt_epi8_mask(__m512i a, __m512i b);', '__mmask64 _mm512_cmpgt_epi8_mask(__m512i a, __m512i b);', '__mmask64 _mm512_cmpgt_epi8_mask(__m512i a, __m512i b);']"
VPCMPGTQ,"['__mmask8 _mm512_cmpgt_epi64_mask( __m512i a, __m512i b);']"
PDEP,"['unsigned __int32 _pdep_u32(unsigned __int32 src, unsigned __int32 mask);']"
PEXT,"['unsigned __int32 _pext_u32(unsigned __int32 src, unsigned __int32 mask);']"
PEXTRB,"['int _mm_extract_epi8 (__m128i src, const int ndx);', 'int _mm_extract_epi8 (__m128i src, const int ndx);', 'int _mm_extract_epi8 (__m128i src, const int ndx);']"
PEXTRW,"['int _mm_extract_pi16 (__m64 a, int n)']"
PHADDW,"['__m64 _mm_hadd_pi16 (__m64 a, __m64 b)', '__m64 _mm_hadd_pi16 (__m64 a, __m64 b)']"
PHADDSW,"['__m64 _mm_hadds_pi16 (__m64 a, __m64 b)']"
PHMINPOSUW,['__m128i _mm_minpos_epu16( __m128i packed_words);']
PHSUBW,"['__m64 _mm_hsub_pi16 (__m64 a, __m64 b)', '__m64 _mm_hsub_pi16 (__m64 a, __m64 b)']"
PHSUBSW,"['__m64 _mm_hsubs_pi16 (__m64 a, __m64 b)']"
PINSRB,"['__m128i _mm_insert_epi8 (__m128i s1, int s2, const int ndx);', '__m128i _mm_insert_epi8 (__m128i s1, int s2, const int ndx);', '__m128i _mm_insert_epi8 (__m128i s1, int s2, const int ndx);']"
PINSRW,"['__m64 _mm_insert_pi16 (__m64 a, int d, int n)']"
VPMADDUBSW,"['__m512i _mm512_maddubs_epi16( __m512i a, __m512i b);']"
VPMADDWD,"['__m512i _mm512_madd_epi16( __m512i a, __m512i b);']"
VPMAXSB,"['__m512i _mm512_max_epi8( __m512i a, __m512i b);', '__m512i _mm512_max_epi8( __m512i a, __m512i b);', '__m512i _mm512_max_epi8( __m512i a, __m512i b);', '__m512i _mm512_max_epi8( __m512i a, __m512i b);']"
VPMAXUB,"['__m512i _mm512_max_epu8( __m512i a, __m512i b);', '__m512i _mm512_max_epu8( __m512i a, __m512i b);']"
VPMAXUD,"['__m512i _mm512_max_epu32( __m512i a, __m512i b);', '__m512i _mm512_max_epu32( __m512i a, __m512i b);']"
VPMINSB,"['__m512i _mm512_min_epi8( __m512i a, __m512i b);', '__m512i _mm512_min_epi8( __m512i a, __m512i b);']"
VPMINSD,"['__m512i _mm512_min_epi32( __m512i a, __m512i b);', '__m512i _mm512_min_epi32( __m512i a, __m512i b);']"
VPMINUB,"['__m512i _mm512_min_epu8( __m512i a, __m512i b);', '__m512i _mm512_min_epu8( __m512i a, __m512i b);']"
VPMINUD,"['__m512i _mm512_min_epu32( __m512i a, __m512i b);', '__m512i _mm512_min_epu32( __m512i a, __m512i b);']"
PMOVMSKB,['int _mm_movemask_pi8(__m64 a)']
VPMOVSXBW,['__m512i _mm512_cvtepi8_epi16(__m512i a);']
VPMOVZXBW,['__m512i _mm512_cvtepu8_epi16(__m256i a);']
VPMULDQ,"['__m512i _mm512_mul_epi32(__m512i a, __m512i b);']"
VPMULHRSW,"['__m512i _mm512_mulhrs_epi16(__m512i a, __m512i b);']"
VPMULHUW,"['__m512i _mm512_mulhi_epu16(__m512i a, __m512i b);']"
VPMULHW,"['__m512i _mm512_mulhi_epi16(__m512i a, __m512i b);']"
VPMULLD,"['__m512i _mm512_mullo_epi32(__m512i a, __m512i b);', '__m512i _mm512_mullo_epi32(__m512i a, __m512i b);']"
VPMULLW,"['__m512i _mm512_mullo_epi16(__m512i a, __m512i b);']"
VPMULUDQ,"['__m512i _mm512_mul_epu32(__m512i a, __m512i b);']"
POPCNT,['int _mm_popcnt_u32(unsigned int a);']
VPORD,"['__m512i _mm512_or_epi32(__m512i a, __m512i b);']"
VPSADBW,"['__m512i _mm512_sad_epu8( __m512i a, __m512i b)']"
VPSHUFB,"['__m512i _mm512_shuffle_epi8(__m512i a, __m512i b);']"
VPSHUFD,"['__m512i _mm512_shuffle_epi32(__m512i a, int n );']"
VPSHUFHW,"['__m512i _mm512_shufflehi_epi16(__m512i a, int n);']"
VPSHUFLW,"['__m512i _mm512_shufflelo_epi16(__m512i a, int n);']"
PSHUFW,"['__m64 _mm_shuffle_pi16(__m64 a, int n)']"
PSIGNB,"['__m64 _mm_sign_pi8 (__m64 a, __m64 b)', '__m64 _mm_sign_pi8 (__m64 a, __m64 b)', '__m64 _mm_sign_pi8 (__m64 a, __m64 b)']"
VPSLLD,"['__m512i _mm512_slli_epi32(__m512i a, unsigned int imm);', '__m512i _mm512_slli_epi32(__m512i a, unsigned int imm);', '__m512i _mm512_slli_epi32(__m512i a, unsigned int imm);']"
(V)PSLLDQ,"['__m128i _mm_slli_si128 ( __m128i a, int imm)']"
VPSRAD,"['__m512i _mm512_srai_epi32(__m512i a, unsigned int imm);', '__m512i _mm512_srai_epi32(__m512i a, unsigned int imm);', '__m512i _mm512_srai_epi32(__m512i a, unsigned int imm);']"
VPSRLD,"['__m512i _mm512_srli_epi32(__m512i a, unsigned int imm);', '__m512i _mm512_srli_epi32(__m512i a, unsigned int imm);', '__m512i _mm512_srli_epi32(__m512i a, unsigned int imm);']"
(V)PSRLDQ,"['__m128i _mm_srli_si128 ( __m128i a, int imm)']"
VPSUBB,"['__m512i _mm512_sub_epi8(__m512i a, __m512i b);', '__m512i _mm512_sub_epi8(__m512i a, __m512i b);', '__m512i _mm512_sub_epi8(__m512i a, __m512i b);']"
VPSUBQ,"['__m512i _mm512_sub_epi64(__m512i a, __m512i b);']"
VPSUBSB,"['__m512i _mm512_subs_epi8(__m512i a, __m512i b);', '__m512i _mm512_subs_epi8(__m512i a, __m512i b);']"
VPSUBUSB,"['__m512i _mm512_subs_epu8(__m512i a, __m512i b);', '__m512i _mm512_subs_epu8(__m512i a, __m512i b);']"
PTEST,"['int _mm_testz_si128 (__m128i s1, __m128i s2);']"
VPUNPCKHBW,"['__m512i _mm512_unpackhi_epi8(__m512i a, __m512i b);', '__m512i _mm512_unpackhi_epi8(__m512i a, __m512i b);', '__m512i _mm512_unpackhi_epi8(__m512i a, __m512i b);', '__m512i _mm512_unpackhi_epi8(__m512i a, __m512i b);']"
VPUNPCKLBW,"['__m512i _mm512_unpacklo_epi8(__m512i a, __m512i b);', '__m512i _mm512_unpacklo_epi8(__m512i a, __m512i b);', '__m512i _mm512_unpacklo_epi8(__m512i a, __m512i b);', '__m512i _mm512_unpacklo_epi8(__m512i a, __m512i b);']"
VPXORD,"['__m512i _mm512_xor_epi32(__m512i a, __m512i b)']"
RCCPS,['__m128 _mm_rcp_ps(__m128 a)']
RCPSS,['__m128 _mm_rcp_ss(__m128 a)']
RDFSBASE,"['unsigned int _readfsbase_u32(void );', 'unsigned int _readfsbase_u32(void );']"
RDPKRU,['uint32_t _rdpkru_u32(void);']
RDRAND,['int _rdrand16_step( unsigned short * );']
RDSEED,['int _rdseed16_step( unsigned short * );']
RDSSPD__int32,"['_rdsspd_i32(void);', '_rdsspd_i32(void);']"
__m128,"['_mm_round_pd(__m128d s1, int iRoundMode);', '_mm_round_ps(__m128 s1, int iRoundMode);']"
ROUNDSD,"['__m128d mm_round_sd(__m128d dst, __m128d s1, int iRoundMode);']"
ROUNDSS,"['__m128 mm_round_ss(__m128 dst, __m128 s1, int iRoundMode);']"
RSQRTPS,['__m128 _mm_rsqrt_ps(__m128 a)']
RSQRTSS,['__m128 _mm_rsqrt_ss(__m128 a)']
RSTORSSP,['void _rstorssp(void *);']
SAVEPREVSSP,['void _saveprevssp(void);']
SBB,"['extern unsigned char _subborrow_u8(unsigned char c_in, unsigned char src1, unsigned char src2, unsigned char *diff_out);']"
SERIALIZE,['void _serialize(void);']
SETSSBSYvoid,['_setssbsy(void);']
SHA1MSG1,"['__m128i _mm_sha1msg1_epu32(__m128i, __m128i);']"
SHA1MSG2,"['__m128i _mm_sha1msg2_epu32(__m128i, __m128i);']"
SHA1NEXTE,"['__m128i _mm_sha1nexte_epu32(__m128i, __m128i);']"
SHA1RNDS4,"['__m128i _mm_sha1rnds4_epu32(__m128i, __m128i, const int);']"
SHA256MSG1,"['__m128i _mm_sha256msg1_epu32(__m128i, __m128i);']"
SHA256MSG2,"['__m128i _mm_sha256msg2_epu32(__m128i, __m128i);']"
SHA256RNDS2,"['__m128i _mm_sha256rnds2_epu32(__m128i, __m128i, __m128i);']"
VSHUFPD,"['__m512d _mm512_shuffle_pd(__m512d a, __m512d b, int imm);']"
VSHUFPS,"['__m512 _mm512_shuffle_ps(__m512 a, __m512 b, int imm);']"
VSQRTPD,"['__m512d _mm512_sqrt_round_pd(__m512d a, int r);']"
VSQRTPS,"['__m512 _mm512_sqrt_round_ps(__m512 a, int r);']"
VSQRTSD,"['__m128d _mm_sqrt_round_sd(__m128d a, __m128d b, int r);']"
VSQRTSS,"['__m128 _mm_sqrt_round_ss(__m128 a, __m128 b, int r);']"
STTILECFGvoid,['_tile_storeconfig(void *);']
VSUBPD,"['__m512d _mm512_sub_pd (__m512d a, __m512d b);']"
VSUBPS,"['__m512 _mm512_sub_ps (__m512 a, __m512 b);']"
VSUBSD,"['__m128d _mm_mask_sub_sd (__m128d s, __mmask8 k, __m128d a, __m128d b);']"
VSUBSS,"['__m128 _mm_mask_sub_ss (__m128 s, __mmask8 k, __m128 a, __m128 b);']"
TDPBF16PS,"['void _tile_dpbf16ps(__tile dst, __tile src1, __tile src2);']"
TDPBSSD,"['void _tile_dpbssd(__tile dst, __tile src1, __tile src2);', 'void _tile_dpbssd(__tile dst, __tile src1, __tile src2);', 'void _tile_dpbssd(__tile dst, __tile src1, __tile src2);', 'void _tile_dpbssd(__tile dst, __tile src1, __tile src2);']"
TILELOADD,"['void _tile_loadd(__tile dst, const void *base, int stride);', 'void _tile_loadd(__tile dst, const void *base, int stride);']"
TILERELEASE,['void _tile_release(void);']
TILESTORED,"['void _tile_stored(__tile src, void *base, int stride);']"
TILEZERO,['void _tile_zero(__tile dst);']
TPAUSE,"['uint8_t _tpause(uint32_t control, uint64_t counter);']"
TZCNT,['unsigned __int32 _tzcnt_u32(unsigned __int32 src);']
VUCOMISD,"['int _mm_comi_round_sd(__m128d a, __m128d b, int imm, int sae);']"
